source_path,repo_root,file_type,priority_bucket,matched_terms,selection_reason,size_bytes,mtime_utc
/home/wilson/CEP_COMPRA/runtime_daily_bundle_20260211_121429/docs/00_constituicao/RETOMADA_PLANO_VS_EXECUCAO.md,/home/wilson/CEP_COMPRA,md,docs,^bvsp|cep|master,matched_search_terms,7855,2026-02-04 13:58:00.900362253+00:00
/home/wilson/CEP_NA_BOLSA/docs/00_constituicao/CEP_NA_BOLSA_CONSTITUICAO_V1.md,/home/wilson/CEP_NA_BOLSA,md,docs,cep|master|xbar,matched_search_terms,7293,2026-01-31 14:59:06.605012417+00:00
/home/wilson/CEP_NA_BOLSA/docs/00_constituicao/CEP_NA_BOLSA_CONSTITUICAO_V2_20260204.md,/home/wilson/CEP_NA_BOLSA,md,docs,_bvsp|baseline|cep|master|xbar,matched_search_terms,21531,2026-02-09 14:52:58.175371170+00:00
/home/wilson/CEP_NA_BOLSA/docs/00_constituicao/RETOMADA_PLANO_VS_EXECUCAO.md,/home/wilson/CEP_NA_BOLSA,md,docs,^bvsp|cep|master,matched_search_terms,7855,2026-02-04 13:58:00.900362253+00:00
/home/wilson/CEP_NA_BOLSA/docs/01_orientacoes_agente/README_TASK_CEP_DISC_F1_003_BDR_P2_P3_UNIVERSE_BRAPI_V1.md,/home/wilson/CEP_NA_BOLSA,md,docs,cep,matched_search_terms,1684,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/01_orientacoes_agente/README_TASK_CEP_F1_001_BOOTSTRAP_AGNO_RUNTIME_V1.md,/home/wilson/CEP_NA_BOLSA,md,docs,cep,matched_search_terms,596,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/01_orientacoes_agente/README_TASK_CEP_F1_002_MASTER_AND_UNIVERSE_DISCOVERY_V1.md,/home/wilson/CEP_NA_BOLSA,md,docs,^bvsp|_bvsp|cep|master,matched_search_terms,748,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/01_orientacoes_agente/TASK_CEP_DISC_F1_003_BDR_P2_P3_UNIVERSE_BRAPI_V1.instructions.json,/home/wilson/CEP_NA_BOLSA,json,docs,cep,matched_search_terms,757,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/01_orientacoes_agente/TASK_CEP_F1_001_BOOTSTRAP_AGNO_RUNTIME_V1.instructions.json,/home/wilson/CEP_NA_BOLSA,json,docs,cep,matched_search_terms,748,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/01_orientacoes_agente/TASK_CEP_F1_002_MASTER_AND_UNIVERSE_DISCOVERY_V1.instructions.json,/home/wilson/CEP_NA_BOLSA,json,docs,^bvsp|cep|master,matched_search_terms,814,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/emendas/E-2026-02-06-baseline-unico-subgrupos-rolling-runner-templates.md,/home/wilson/CEP_NA_BOLSA,md,docs,baseline|cep|master|xbar,matched_search_terms,583,2026-02-06 21:02:59.671805620+00:00
/home/wilson/CEP_NA_BOLSA/docs/governanca/CEP_NA_BOLSA — Ponto de Situação (snapshot 2026-02-04).md,/home/wilson/CEP_NA_BOLSA,md,docs,^bvsp|baseline|cep|master|w1|w2|xbar,matched_search_terms,12697,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/governanca/constituição_vigente.md,/home/wilson/CEP_NA_BOLSA,md,docs,cep,matched_search_terms,106,2026-02-04 15:31:53.498401165+00:00
/home/wilson/CEP_NA_BOLSA/docs/ssot/master_calibration.json,/home/wilson/CEP_NA_BOLSA,json,docs,baseline|cep|master,matched_search_terms,939,2026-02-09 12:35:14.157142878+00:00
/home/wilson/CEP_NA_BOLSA/docs/templates/runner_xbarr_r_plotly_v1.config.json,/home/wilson/CEP_NA_BOLSA,json,docs,^bvsp|cep|master|xbar,matched_search_terms,493,2026-02-06 20:28:00.648944855+00:00
/home/wilson/CEP_NA_BOLSA/docs/templates/runner_xbarr_r_plotly_v1.usage.md,/home/wilson/CEP_NA_BOLSA,md,docs,cep|master|xbar,matched_search_terms,729,2026-02-06 20:28:06.183025122+00:00
/home/wilson/CEP_COMPRA/.cursor/worktrees.json,/home/wilson/CEP_COMPRA,json,others,cep,matched_search_terms,48,2026-02-11 19:10:14.769526720+00:00
/home/wilson/CEP_COMPRA/.obsidian/app.json,/home/wilson/CEP_COMPRA,json,others,cep,matched_search_terms,63,2026-02-13 09:35:54.050133944+00:00
/home/wilson/CEP_COMPRA/.obsidian/appearance.json,/home/wilson/CEP_COMPRA,json,others,cep,matched_search_terms,2,2026-02-13 09:35:54.052134037+00:00
/home/wilson/CEP_COMPRA/.obsidian/core-plugins.json,/home/wilson/CEP_COMPRA,json,others,cep,matched_search_terms,696,2026-02-13 09:35:53.570127249+00:00
