date,label_window,sinais_cep_master_xt,sinais_cep_stress_i,sinais_cep_stress_amp,sinais_cep_trend_run7,sinais_cep_daily_return_m6,sinais_cep_cash_ratio_m6,sinais_cep_rule_one_below_lcl,sinais_cep_rule_two_of_three_below_2sigma_neg,sinais_cep_xbar_t,sinais_cep_r_t,sinais_cep_xbar_lcl,sinais_cep_two_sigma_neg
2018-04-27,outros,0.0007174763656313,0,0,0,,,,,,,,
2018-04-30,outros,-0.0038247612690295,0,0,0,,,,,,,,
2018-05-02,outros,-0.0183760195359555,0,0,0,,,,,,,,
2018-05-03,outros,-0.0150031115793024,0,0,0,,,,,,,,
2018-05-04,outros,-0.0020431962686548,0,0,0,,,,,,,,
2018-05-07,outros,-0.0048724106235144,0,0,0,,,,,,,,
2018-05-08,outros,0.0029214724708456,0,0,0,,,,,,,,
2018-05-09,outros,0.015656248176855,0,0,0,,,,,,,,
2018-05-10,outros,0.0187631146675998,0,0,0,,,,,,,,
2018-05-11,outros,-0.007493561523817,0,0,0,,,,,,,,
2018-05-14,outros,0.0001408021028773,0,0,0,,,,,,,,
2018-05-15,outros,-0.0011974502786776,0,0,0,,,,,,,,
2018-05-16,outros,0.0163925682495103,0,0,0,,,,,,,,
2018-05-17,outros,-0.0342654247800484,0,0,0,,,,,,,,
2018-05-18,outros,-0.0064785714647956,0,0,0,,,,,,,,
2018-05-21,outros,-0.0153674710197729,0,0,0,,,,,,,,
2018-05-22,outros,0.0112304740266744,0,0,0,,,,,,,,
2018-05-23,outros,-0.0228852450626471,0,0,0,,,,,,,,
2018-05-24,outros,-0.0092553568026623,0,0,0,,,,,,,,
2018-05-25,outros,-0.0153945940541338,0,0,1,,,,,,,,
2018-05-28,outros,-0.0459323286849621,1,0,1,,,,,,,,
2018-05-29,outros,0.0094567099340152,0,0,1,,,,,,,,
2018-05-30,outros,0.0089252421359495,0,0,1,,,,,,,,
2018-06-01,outros,0.0063119551872208,0,0,0,,,,,,,,
2018-06-04,outros,0.0174033499946357,0,0,0,,,,,,,,
2018-06-05,outros,-0.0251755781994368,0,0,0,,,,,,,,
2018-06-06,outros,-0.0068735991598119,0,0,0,,,,,,,,
2018-06-07,outros,-0.0302220803485814,0,0,0,,,,,,,,
2018-06-08,outros,-0.0123849450454071,0,0,0,,,,,,,,
2018-06-11,outros,-0.0087298316891039,0,0,0,,,,,,,,
2018-06-12,outros,0.0061491142453636,0,0,0,,,,,,,,
2018-06-13,outros,-0.0087247578488539,0,0,1,,,,,,,,
2018-06-14,outros,-0.0097671857606361,0,0,1,,,,,,,,
2018-06-15,outros,-0.0093263394125933,0,0,1,,,,,,,,
2018-06-18,outros,-0.0134167179417299,0,0,1,,,,,,,,
2018-06-19,outros,0.0223649458069133,0,0,1,,,,,,,,
2018-06-20,outros,0.0101591626066701,0,0,0,,,,,,,,
2018-06-21,outros,-0.0288068977568896,0,0,0,,,,,,,,
2018-06-22,outros,0.008044615430044,0,0,0,,,,,,,,
2018-06-25,outros,0.0044069735293395,0,0,0,,,,,,,,
2018-06-26,outros,0.0063502088946609,0,0,0,,,,,,,,
2018-06-27,outros,-0.0112102797768848,0,0,0,,,,,,,,
2018-06-28,outros,0.0162671452452487,0,0,0,,,,,,,,
2018-06-29,outros,0.0137828238725177,0,0,0,,,,,,,,
2018-07-02,W1,0.0010576706136289,0,0,0,2.220446049250313e-16,1.3877787807814454e-16,,,,,,
2018-07-03,W1,0.0113032573739523,0,0,0,0.01717385045069242,1.3646830753897896e-16,,,,,,
2018-07-04,W1,0.0144870501674741,0,0,0,0.024140552885584254,0.19526741423488975,,,,,,
2018-07-05,W1,-0.0025452805510595,0,0,0,0.0006827782709917241,0.19518215069195322,,,,,,
2018-07-06,W1,0.0061111561317706,0,0,0,-0.0038098297942017467,0.3237536621843764,,,,,,
2018-07-10,W1,-0.0019750193246055,0,0,0,-0.0033706481297338664,0.0,,,,,,
2018-07-11,W1,-0.0062039177684374,0,0,0,0.012723782466873335,0.09602786334148579,,,,,,
2018-07-12,W1,0.0193943052712606,0,0,0,0.016073325612530942,0.09453202583900844,,,,,,
2018-07-13,W1,0.0096819385371849,0,0,0,-0.0029861576195689965,0.09483846725855279,,,,,,
2018-07-16,W1,0.0007699987982157,0,0,0,-0.0027850940009247482,0.0,,,,,,
2018-07-17,W1,0.0190853625134897,0,0,0,0.008507018393648424,0.0,,,,,,
2018-07-18,W1,-0.0098654758844012,0,0,0,-0.0021841227832953836,0.0,,,,,,
2018-07-19,W1,0.0016015502293137,0,0,0,-0.0019415742008543901,0.0,,,,,,
2018-07-20,W1,0.013892494257307,0,0,0,-0.006978468787558811,0.0,,,,,,
2018-07-23,W1,-0.0073451312875323,0,0,0,0.0018933232763509444,0.0,,,,,,
2018-07-24,W1,0.0147504122024004,0,0,0,0.007000788814715886,0.0,,,,,,
