date,master_ticker,r_t,mr_t,xbar_n,range_n,z_r_60,cep_i_below_lcl,cep_i_above_ucl,cep_mr_above_ucl,cep_xbar_below_lcl,cep_xbar_above_ucl,cep_r_above_ucl,dist_i_lcl,dist_i_ucl,dist_xbar_lcl,dist_xbar_ucl,stress_score,upside_score,label_true
2018-01-03,^BVSP,0.0013343086028245,,,,,0,0,0,0,0,0,0.03499233084811876,0.03510383667032546,,,0.0,0.0,OUT
2018-01-04,^BVSP,0.0083247630314591,0.0069904544286346,,,,0,0,0,0,0,0,0.04198278527675336,0.02811338224169086,,,0.0,0.0,OUT
2018-01-05,^BVSP,0.005376697922198,0.0029480651092611,,,,0,0,0,0,0,0,0.03903472016749226,0.03106144735095196,,,0.0,0.0,OUT
2018-01-08,^BVSP,0.0038876666194341,0.0014890313027639,0.004730859043978925,0.0069904544286346,,0,0,0,0,0,0,0.03754568886472836,0.03255047865371586,0.020959569664181783,0.014096407161643662,0.0,0.0,OUT
2018-01-09,^BVSP,-0.0065089996809012,0.0103966663003353,0.0027700319730474994,0.0148337627123603,,0,0,0,0,0,0,0.027149022564393062,0.04294714495405116,0.018998742593250358,0.016057234232575088,0.0,0.0,OUT
2018-01-10,^BVSP,-0.0084424147697336,0.0019334150888324006,-0.0014217624772506748,0.0138191126919316,,0,0,0,0,0,0,0.02521560747556066,0.04488056004288356,0.014806948142952183,0.02024902868287326,0.0,0.0,OUT
2018-01-11,^BVSP,0.0147750298309164,0.02321744460065,0.0009278204999289253,0.02321744460065,,0,0,0,0,0,0,0.04843305207621066,0.02166311544223356,0.017156531120131782,0.017899445705693663,0.0,0.0,OUT
2018-01-12,^BVSP,-0.0002016205256524,0.0149766503565688,-9.450128634269972e-05,0.02321744460065,,0,0,0,0,0,0,0.03345640171964186,0.03663976579880236,0.01613420933386016,0.018921767491965287,0.0,0.0,OUT
2018-01-15,^BVSP,0.0050659752218505,0.0052675957475029,0.0027992424393452255,0.02321744460065,,0,0,0,0,0,0,0.03872399746714476,0.031372170051299456,0.019027953059548082,0.016028023766277363,0.0,0.0,OUT
2018-01-16,^BVSP,0.0010026068616086,0.0040633683602419,0.005160497847180775,0.0149766503565688,,0,0,0,0,0,0,0.03466062910690286,0.03543553841154136,0.02138920846738363,0.013666768358441812,0.0,0.0,OUT
2018-01-17,^BVSP,0.0168553434287097,0.0158527365671011,0.0056805762466291005,0.0170569639543621,,0,0,0,0,0,0,0.05051336567400396,0.019582801844440258,0.02190928686683196,0.013146689958993487,0.0,0.0,OUT
2018-01-18,^BVSP,-0.0027875098221292,0.0196428532508389,0.005034103922509901,0.0196428532508389,,0,0,0,0,0,0,0.03087051242316506,0.03922565509527916,0.021262814542712758,0.013793162283112687,0.0,0.0,OUT
2018-01-19,^BVSP,0.0031692620695598,0.005956771891689,0.004559925634437225,0.0196428532508389,,0,0,0,0,0,0,0.03682728431485406,0.03326888320359016,0.020788636254640083,0.014267340571185363,0.0,0.0,OUT
2018-01-22,^BVSP,0.0055864352289822,0.0024171731594224,0.005705882726280626,0.0196428532508389,,0,0,0,0,0,0,0.03924445747427646,0.030851710044167757,0.021934593346483483,0.013121383479341962,0.0,0.0,OUT
2018-01-23,^BVSP,-0.0122820339994086,0.0178684692283908,-0.0015784616307489502,0.0178684692283908,,0,0,0,0,0,0,0.021375988245885658,0.04872017927255856,0.014650248989453909,0.020405727836371537,0.0,0.0,OUT
2018-01-24,^BVSP,0.0365340768288876,0.048816110828296205,0.008251935032005251,0.048816110828296205,,0,1,1,0,0,0,0.07019209907418186,-9.593155573764389e-05,0.02448064565220811,0.010575331173617336,0.7,1.0,OUT
2018-01-26,^BVSP,0.0218788830117743,0.014655193817113304,0.012929340267558875,0.048816110828296205,,0,0,0,0,0,0,0.05553690525706856,0.01455926226137566,0.029158050887761734,0.005897925938063712,0.0,0.0,OUT
2018-01-29,^BVSP,-0.0097868947000492,0.031665777711823495,0.009086007785301026,0.048816110828296205,,0,0,0,0,0,0,0.02387112754524506,0.046225039973199156,0.025314718405503884,0.009741258420321561,0.0,0.0,OUT
2018-01-30,^BVSP,-0.0025534947081927,0.0072333999918564994,0.011518142608105,0.0463209715289368,,0,0,0,0,0,0,0.03110452753710156,0.03899163998134266,0.02774685322830786,0.0073091235975175865,0.0,0.0,OUT
2018-01-31,^BVSP,0.0050887089944828,0.0076422037026755,0.0036568006495037997,0.031665777711823495,,0,0,0,0,0,0,0.03874673123977706,0.03134943627866716,0.019885511269706658,0.015170465556118787,0.0,0.0,OUT
2018-02-01,^BVSP,0.0068306917859282,0.0017419827914454,-0.00010524715695772497,0.0166175864859774,,0,0,0,0,0,0,0.04048871403122246,0.02960745348722176,0.016123463463245134,0.01893251336258031,0.0,0.0,OUT
2018-02-02,^BVSP,-0.0171531196988815,0.0239838114848097,-0.0019468034066657995,0.0239838114848097,,0,0,0,0,0,0,0.01650490254641276,0.053591264972031455,0.01428190721353706,0.020774069612288386,0.0,0.0,OUT
