date,drawdown
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,0.0
2018-01-09,-0.008358977917558685
2018-01-10,-0.005363432643223476
2018-01-11,-0.005759672947936445
2018-01-12,-0.008668788669853211
2018-01-15,-0.0038852812302819784
2018-01-16,-0.005247543547703071
2018-01-17,-1.7023493059764583e-05
2018-01-18,0.0
2018-01-19,0.0
2018-01-22,-0.010502859281781518
2018-01-23,-0.017089258326165258
2018-01-24,-0.006893422326542997
2018-01-26,-0.0030919393793003014
2018-01-29,0.0
2018-01-30,-0.007116120119103786
2018-01-31,-0.0035035406000000213
2018-02-01,-0.00224204883830903
2018-02-02,-0.015834381517440543
2018-02-05,-0.016541710884985017
2018-02-06,-0.03228978272755234
2018-02-07,-0.038380603318335926
2018-02-08,-0.0403579492524061
2018-02-09,-0.04671255510004402
2018-02-14,-0.0415615403194306
2018-02-15,-0.037230434483276786
2018-02-16,-0.06485554771210333
2018-02-19,-0.06658420621675509
2018-02-20,-0.09891260489932718
2018-02-21,-0.09145642811773391
2018-02-22,-0.09620763648717479
2018-02-23,-0.09957039533028311
2018-02-26,-0.09675131244154989
2018-02-27,-0.09639815220004289
2018-02-28,-0.08421787052779572
2018-03-01,-0.06331290845425241
2018-03-02,-0.06770634963884714
2018-03-05,-0.0666357300768583
2018-03-06,-0.06848148451001212
2018-03-07,-0.0715831251691671
2018-03-08,-0.07350149388608784
2018-03-09,-0.07025908140212966
2018-03-12,-0.059945339250975116
2018-03-13,-0.06564046378847288
2018-03-14,-0.06327539075865185
2018-03-15,-0.07049967820262693
2018-03-16,-0.07557841322348113
2018-03-19,-0.07906862158713479
2018-03-20,-0.08344611510570032
2018-03-21,-0.08029516418688265
2018-03-22,-0.08968138016765803
2018-03-23,-0.09036046305977785
2018-03-26,-0.08256344018917061
2018-03-27,-0.09179953229708471
2018-03-28,-0.10081931290221302
2018-03-29,-0.10854713813180739
2018-04-02,-0.09002012564315787
2018-04-03,-0.09274975502186467
2018-04-04,-0.09309072418002917
2018-04-05,-0.09327375888144918
2018-04-06,-0.1070444267669689
2018-04-09,-0.10591072147962366
2018-04-10,-0.11662580164295622
2018-04-11,-0.11694546687404006
2018-04-12,-0.11540977089817728
2018-04-13,-0.11678403046255481
2018-04-16,-0.12318095952264141
2018-04-17,-0.11718139479581868
2018-04-18,-0.12053772262011453
2018-04-19,-0.12439469321667163
2018-04-20,-0.12596156497478883
2018-04-23,-0.13242062133072852
2018-04-24,-0.12692142621464364
2018-04-25,-0.12367991861984418
2018-04-26,-0.12419274750448062
2018-04-27,-0.12911805001647614
2018-04-30,-0.12990226940399252
2018-05-02,-0.13461463089713055
2018-05-03,-0.14248347902810243
2018-05-04,-0.1405734338421406
2018-05-07,-0.12652685974837163
2018-05-08,-0.14045638917664705
2018-05-09,-0.1354173638199031
2018-05-10,-0.13586548842506485
2018-05-11,-0.1411441890726085
2018-05-14,-0.14117056729695387
2018-05-15,-0.11397533251401437
2018-05-16,-0.11819188139862702
2018-05-17,-0.12618152261296478
2018-05-18,-0.13063547479538506
2018-05-21,-0.13822166446552098
2018-05-22,-0.14474524996565352
2018-05-23,-0.1448747533196959
2018-05-24,-0.14980360078855892
2018-05-25,-0.15534159891175559
2018-05-28,-0.1729741426160547
2018-05-29,-0.1729741426160547
2018-05-30,-0.1729741426160547
2018-06-01,-0.1729741426160547
2018-06-04,-0.1729741426160547
2018-06-05,-0.16820681261987402
2018-06-06,-0.16563127831010993
2018-06-07,-0.17963605037612007
2018-06-08,-0.16941454026589475
2018-06-11,-0.1603295961925657
2018-06-12,-0.15601633540922122
2018-06-13,-0.16465854332419094
2018-06-14,-0.16097659668926367
2018-06-15,-0.16146365157014353
2018-06-18,-0.1726538662813365
2018-06-19,-0.17823085593563504
2018-06-20,-0.18531094273059578
2018-06-21,-0.18747769658272484
2018-06-22,-0.18528806344420978
2018-06-25,-0.18391390837166688
2018-06-26,-0.17347674353524267
2018-06-27,-0.17129909575995406
2018-06-28,-0.17017915114847382
2018-06-29,-0.17086831218845056
2018-07-02,-0.1680411491260252
2018-07-03,-0.14831365652344153
2018-07-04,-0.11684387243273897
2018-07-05,-0.11501681694096066
2018-07-06,-0.12946236856296245
2018-07-10,-0.11630753045395603
2018-07-11,-0.12593251680278306
2018-07-12,-0.12086239057452852
2018-07-13,-0.13479819617374889
2018-07-16,-0.1354141171068377
2018-07-17,-0.13478772676846618
2018-07-18,-0.1373192660030077
2018-07-19,-0.13346694173807805
2018-07-20,-0.11258317821139174
2018-07-23,-0.10838158723518243
2018-07-24,-0.09740624660605146
2018-07-25,-0.09926893381928203
2018-07-26,-0.10455915290469853
2018-07-27,-0.1055503553786945
2018-07-30,-0.10089259592170496
2018-07-31,-0.09312518255867641
2018-08-01,-0.06706892706280576
2018-08-02,-0.06767664731828948
2018-08-03,-0.07759033978068985
2018-08-06,-0.07597650594032623
2018-08-07,-0.08735278734766883
2018-08-08,-0.08085042230838724
2018-08-09,-0.08738753701989577
2018-08-10,-0.08177356570807348
2018-08-13,-0.0872648371114978
2018-08-14,-0.07934719995438644
2018-08-15,-0.0808236913035838
2018-08-16,-0.07818588455739095
2018-08-17,-0.08956286040762984
2018-08-20,-0.09393960098468734
2018-08-21,-0.08818184010764185
2018-08-22,-0.08390945599527344
2018-08-23,-0.08630462223142366
2018-08-24,-0.08101705398978054
2018-08-27,-0.06920541990268125
2018-08-28,-0.06535309825837399
2018-08-29,-0.07251530047842303
2018-08-30,-0.08892394972924955
2018-08-31,-0.09741562995943875
