mecanismo,event_date,next_event_date,u_star,u_exec,regret_t,s_star,s_exec
M0,2018-05-14,2018-05-21,2.4722554589459818,1.0955971076859787,1.376658351260003,"INEP4,INEP3,LOGN3,UNIP5,UNIP6,UNIP3,JOPA3,FHER3,RSUL4,HAPV3","UNIP5,AMAR3,VULC3,JFEN3,SUZB3,INEP3,KLBN3,INEP4,PETR3,UNIP6"
M0,2018-05-21,2018-05-28,0.6604578472995533,-0.46334688443686084,1.1238047317364142,"ITSA4,BEEF3,CEBR6,ALUP4,ENMT4,MNPR3,MDIA3,MBRF3,KLBN3,CTSA3","SUZB3,VULC3,AMAR3,ENMT4,INEP3,CRPG3,HBTS5,FHER3,ENMT3,UNIP5"
M0,2018-06-04,2018-06-11,0.8158749740222279,-0.27868277225099175,1.0945577462732197,"EALT3,FHER3,PEAB3,WHRL3,CBEE3,CTSA3,LOGN3,DOHL4,PLAS3,BDLL4","ENMT4,JFEN3,CRPG3,INEP4,SUZB3,FHER3,UNIP5,UNIP6,UNIP3,KLBN3"
M0,2018-06-11,2018-06-18,1.7756657101389854,-0.12217951056447929,1.8978452207034646,"AHEB3,PMAM3,RPMG3,ETER3,DTCY3,ENMT3,BRKM5,BRKM3,LUPA3,MGLU3","INEP4,HBTS5,SUZB3,UNIP6,UNIP5,MBRF3,UNIP3,REDE3,SLCE3,ENMT3"
M0,2018-06-25,2018-07-02,1.9412649805195081,0.21646704191735927,1.7247979386021488,"VIVR3,EALT3,AZEV4,RPAD3,BRSR3,EMAE4,SLCE3,WLMM4,PTNT4,PETR4","MBRF3,SLCE3,SUZB3,PSVM11,INEP3,FHER3,INEP4,UNIP6,ENMT3,UNIP5"
M0,2018-07-02,2018-07-10,2.0011791282500195,0.7843258911580664,1.2168532370919531,"FHER3,ETER3,INEP3,BIOM3,EMAE4,ROMI3,AXIA5,INEP4,TEND3,POMO4","FHER3,INEP3,MBRF3,SUZB3,EALT3,INEP4,ENMT3,UNIP6,UNIP5,PRIO3"
M0,2018-07-10,2018-07-16,1.9368961172024721,0.654704556566609,1.2821915606358631,"INEP4,INEP3,PMAM3,ETER3,FHER3,MWET4,PLAS3,OIBR3,PSSA3,CVCB3","ENMT4,ENMT3,CRPG3,SUZB3,MBRF3,FHER3,INEP4,UNIP6,UNIP5,SOND6"
M0,2018-07-16,2018-07-23,2.9346723660217795,0.0847578477127468,2.8499145183090326,"RNEW4,RNEW3,WLMM3,CTNM3,TELB4,PSVM11,CTNM4,GFSA3,LIGT3,WLMM4","EALT3,ENMT3,UNIP6,CRPG3,MBRF3,JOPA3,SLCE3,UNIP5,MGLU3,UNIP3"
M0,2018-07-23,2018-07-30,2.1327445801517726,0.28618988551603414,1.8465546946357385,"ITUB3,ITUB4,FHER3,JFEN3,LUPA3,PRIO3,PATI4,PATI3,SANB3,RPAD5","ENMT4,ENMT3,UNIP5,UNIP6,MBRF3,INEP3,INEP4,FHER3,SLCE3,UNIP3"
M0,2018-07-30,2018-08-06,1.2690012531236912,0.2850159462081377,0.9839853069155535,"AMAR3,PLAS3,RNEW3,PEAB3,INEP3,UNIP3,JHSF3,GSHP3,MWET4,PRIO3","EALT3,INEP3,UNIP5,MBRF3,INEP4,ITUB4,ITUB3,UNIP6,EMAE4,MGLU3"
M0,2018-08-06,2018-08-13,0.8942124548837938,-0.4148590345384253,1.309071489422219,"ROMI3,RCSL3,BPAC3,TXRX4,ALUP3,MOVI3,SUZB3,BDLL4,PMAM3,JSLG3","EALT3,JOPA3,MBRF3,INEP4,FHER3,LOGN3,ITUB4,ITUB3,EMAE4,UNIP6"
M0,2018-08-13,2018-08-20,1.2819053551312019,-0.08183572179589718,1.363741076927099,"LOGN3,SLCE3,MDIA3,LIGT3,TAEE3,MNDL3,PTNT4,PSSA3,VULC3,ROMI3","JOPA3,LOGN3,MBRF3,INEP4,EMAE4,ITUB3,ITUB4,FHER3,PEAB3,MGLU3"
M0,2018-08-20,2018-08-27,1.5784052572752685,0.09988904282687301,1.4785162144483954,"DTCY3,KLBN3,CRPG6,CRPG5,ENGI3,CEBR3,NATU3,KLBN11,CRPG3,FESA4","INEP3,EMAE4,INEP4,ITUB3,EALT3,ITUB4,FHER3,MNDL3,DOHL4,LOGN3"
M0,2018-08-27,2018-09-03,1.5386022415832996,-0.5236345237510467,2.0622367653343465,"FICT3,MWET4,HBTS5,RANI3,PRIO3,LOGN3,MGEL4,BEES4,MNDL3,BMEB3","INEP3,INEP4,ITUB3,CRPG3,ENMT3,DTCY3,FRIO3,ITUB4,RNEW4,SLCE3"
M0,2018-09-03,2018-09-10,0.7622126113084554,-0.1264643315689905,0.8886769428774459,"PPLA11,LOGN3,IRBR3,SUZB3,CTNM4,AXIA6,EUCA4,PTNT4,PMAM3,ENGI3","DTCY3,INEP3,ITUB3,INEP4,PATI4,RPAD3,RCSL3,RNEW4,EMAE4,ITUB4"
M0,2018-09-10,2018-09-17,0.8201795085538836,-0.02250207647939509,0.8426815850332786,"BRKM6,BIOM3,GEPA3,PTBL3,INEP3,MNPR3,ANIM3,ROMI3,COCE5,RCSL4","ITUB3,INEP4,INEP3,ITUB4,EMAE4,RCSL3,PRIO3,BRKM3,BRKM5,RNEW3"
M0,2018-09-17,2018-09-24,1.401963040383273,0.3016430929721253,1.1003199474111476,"HETA4,INEP4,INEP3,CRPG3,ALUP3,PFRM3,PRIO3,PPLA11,RCSL4,BRAP4","INEP4,INEP3,ITUB3,JOPA3,BRKM6,RPAD3,EMAE4,ITUB4,RNEW4,EKTR4"
M0,2018-09-24,2018-10-01,1.087802267458428,0.05910996408990079,1.0286923033685271,"PPLA11,TELB4,RSUL4,DTCY3,TGMA3,OSXB3,TEND3,CEBR3,SCAR3,ALUP3","INEP3,ITUB3,JOPA3,INEP4,RPAD3,ITUB4,PRIO3,PSSA3,EMAE4,MNDL3"
M0,2018-10-01,2018-10-08,3.3200802750397505,0.09795625659972033,3.22212401844003,"AXIA6,AXIA3,CMIG3,CMIG4,PSVM11,BBAS3,MWET4,CSMG3,RAPT4,BRSR6","INEP3,ITUB4,ITUB3,INEP4,PRIO3,PSSA3,TELB4,MNDL3,IRBR3,ALUP3"
M0,2018-10-08,2018-10-15,2.309875714565278,0.1283166832309518,2.1815590313343263,"AZEV4,PDGR3,JFEN3,CTSA3,SOND5,VIVR3,LUPA3,CTKA3,HBOR3,CTNM3","DTCY3,PSVM11,CEED4,MSPA3,CRPG3,PATI3,PLAS3,MNDL3,PRIO3,MOAR3"
M0,2018-10-15,2018-10-22,5.640795130018877,0.1745999838325688,5.466195146186308,"AZEV4,AZEV3,RANI3,VIVR3,PDGR3,TPIS3,LOGN3,PINE4,FHER3,RSID3","TXRX3,PRIO3,ITUB4,ITUB3,CMIG3,MAPT4,PETR4,PETR3,RCSL4,CMIG4"
M0,2018-10-22,2018-10-29,4.639603462059376,0.20759097452268302,4.432012487536693,"ETER3,HBTS5,SNSY5,VIVR3,AZEV3,CBEE3,MILS3,PDGR3,MGEL4,TXRX4","ITUB4,ITUB3,CMIG3,PETR3,PETR4,RCSL4,CEGR3,PSVM11,PATI3,CLSC3"
M0,2018-10-29,2018-11-05,1.6109900397004662,-0.27706735308057795,1.888057392781044,"AXIA5,AZEV4,EMAE4,BALM4,VIVR3,CSUD3,PNVL3,FESA3,ENGI3,OIBR3","TXRX3,PETR4,PETR3,ITUB4,ITUB3,AZEV3,HBTS5,TXRX4,SNSY5,RANI3"
M0,2018-11-05,2018-11-12,1.3561788267472987,-0.9320556465637431,2.288234473311042,"CTNM3,DTCY3,CEED3,TECN3,FHER3,SGPS3,AMAR3,JOPA3,WLMM3,ROMI3","PETR3,ITUB3,ITUB4,BRKM6,HBTS5,ETER3,AZEV4,TXRX4,CRPG3,LOGN3"
M0,2018-11-12,2018-11-19,1.5075203005928721,-0.019260709215058215,1.5267810098079304,"CTNM3,BALM4,BOBR4,BMEB3,CLSC3,MILS3,GUAR3,LEVE3,SUZB3,LREN3","PETR3,ITUB4,ITUB3,CLSC3,ETER3,AZEV4,LOGN3,RANI3,DTCY3,CMIG3"
